Registro_ANS;CNPJ;Razao_Social;Nome_Fantasia;Modalidade;Logradouro;Numero;Complemento;Bairro;Cidade;UF;CEP;DDD;Telefone;Fax;Endereco_eletronico;Representante;Cargo_Representante;Regiao_de_Comercializacao;Data_Registro_ANS;0,1,2,3,4,5,6,7,8,9,10,11,12
417289.0;7674593000110.0;ALL CARE ADMINISTRADORA DE BENEFÍCIOS SÃO PAULO LTDA;;Administradora de Benefícios;ALAMEDA SANTOS;1357;2º e 7º ANDAR;JARDIM PAULISTA;São Paulo;SP;1419908.0;11.0;30039499.0;;ans@allcare.com.br;FARIAS PEREIRA DE SOUZA;DIRETOR PRESIDENTE;1.0;2010-05-14;
417459.0;11165556000154.0;ALLCARE ADMINISTRADORA DE BENEFÍCIOS EM SAÚDE LTDA.;ALLCARE ADMINISTRADORA DE BENEFÍCIOS EM SAÚDE;Administradora de Benefícios;SCS QD. 03 BLOCO A;LOTE;107/111;ASA SUL;Brasília;DF;70303907.0;61.0;30443600.0;30443615.0;ans@allcare.com.br;FARIAS PEREIRA DE SOUSA ;DIRETOR PRESIDENTE;1.0;2010-07-16;
515.0;4439627000102.0;ALLIANZ SAÚDE S/A;;Seguradora Especializada em Saúde;RUA EUGÊNIO DE MEDEIROS;303;7º ANDAR - PARTE;PINHEIROS;São Paulo;SP;5425000.0;11.0;40015060.0;;compliance@allianz.com.br;REGINA HELENA MENEZES LOPES;DIRETORA;4.0;2001-08-06;
423262.0;45568546000181.0;ALMA ODONTO OPERADORA DE PLANOS ODONTOLOGICOS LTDA;ALMA ODONTO;Odontologia de Grupo;RUA REGENTE FEIJO;712.0;SALA 93 EDIF JOAO PUPO;CENTRO;Campinas;SP;13013050.0;19.0;31994536.0;;financeiro@almaodonto.com.br;RONYSON RODRIGUES RAMOS DE OLIVEIRA;SÓCIO ADMINISTRADOR;;2022-05-30;
419982.0;20459346000160.0;ALPHA DENTAL PLANO DE SAUDE LTDA ME;DENTALMED;Odontologia de Grupo;AVENIDA DAS SIBIPIRUNAS;2656;1º ANDAR, SALA 03;SETOR COMERCIAL SUL;Sinop;MT;78550029.0;66.0;35310070.0;;;"IVAN DALL"" STELLA COSTA JÚNIOR";SóCIO GERENTE;5.0;2015-12-09;
420255.0;22103116000199.0;ALTER ADMINISTRADORA DE BENEFICIOS S.A.;;Administradora de Benefícios;Alameda Santos;2441;4º andar, cjs 41 e 42, sala 01;Cerqueira César;São Paulo;SP;1419101.0;11.0;39952217.0;;dpo@alter.com.br;PEDRO AUGUSTO BARQUETE DE REZENDE;ADMINISTRADOR;5.0;2016-10-25;
344800.0;62511019000150.0;ALVORECER - ASSOCIAÇÃO DE SOCORROS MÚTUOS;ALVORECER;Medicina de Grupo;ALAMEDA SANTOS;1827;11 ANDAR SALA 111;CERQUEIRA CESAR;São Paulo;SP;1419909.0;11.0;30169409.0;;regulatorio@bluemedsaude.com.br;SILVIO JOSÉ FERRAZ TAVARES;PRESIDENTE;4.0;1999-01-15;
424234.0;56307500000125.0;AMAZIL ASSISTENCIA MEDICA DO BRASIL LTDA;AMAZIL   ;Medicina de Grupo;ESTRADA DO TINDIBA;1630;;TAQUARA;Rio de Janeiro;RJ;22740362.0;21.0;999434833.0;;leonardo@unimedicasaude.com;ADEBEEL DE SOUSA AVES;SOCIO ADMINISTRADOR;;2024-12-02;
419052.0;16926969000128.0;AMAZÔNIA PLANOS DE SAÚDE LTDA;PLANO AMAZÔNIA SAÚDE;Medicina de Grupo;TRAVESSA NOVE DE JANEIRO;1295;;SÃO BRAZ;Belém;PA;66060575.0;91.0;31847650.0;32495686.0;amasaude@amazoniaplanos.com.br;GILBERTO OSAMU YAMAMOTO;REPRESENTANTE LEGAL;6.0;2013-10-03;
423351.0;46614535000153.0;AME VVIDA PLANOS DE SAUDE INTEGRADO LTDA.;VIVA VIDA;Medicina de Grupo;AVENIDA CALAMA;2715;SALA 2715C;LIBERDADE ;Porto Velho;RO;76803883.0;69.0;93324444.0;;financeiro@operadoravivavida.com.br;ROMILDA VIANA DE PAES;SOCIO - ADMINISTRADOR;;2022-10-03;
304531.0;17143876000190.0;AME-ASSISTÊNCIA MÉDICA A EMPRESAS LTDA;AME-SISTEMA DE SAÚDE 24 HORAS;Medicina de Grupo;RUA SAMPAIO;376;;CENTRO;Juiz de Fora;MG;36010360.0;32.0;21015600.0;32155201.0;amesaude24h@terra.com.br;REGINA MARIA AGUIAR DE SOUZA FELLET;DIRETORA ADMINISTRATIVA E FINANCEIRA;6.0;1998-12-22;
413330.0;4257073000114.0;AMEP FREGUESIA OPERADORA DE PLANO DE SAUDE LTDA;AMEP FREGUESIA OPERADORA DE PLANOS DE SAUDE LTDA;Medicina de Grupo;RUA ARAGUAIA;13;;JACAREPAGUA;Rio de Janeiro;RJ;22745270.0;21.0;39104000.0;;amep.operadora@uol.com.br;ANA MARLI VIDEIRA PEIXOTO FAZZINI;SOCIA GERENTE;4.0;2001-03-16;
394734.0;67839969000121.0;AMEPLAN ASSISTÊNCIA MÉDICA PLANEJADA LTDA;AMEPLAN ASSITENCIA MÉDICA PLANEJADA  LTDA.;Medicina de Grupo;RUA UBATU MIRIM;45;3º ANDAR;VILA GEA;São Paulo;SP;4692010.0;11.0;33219700.0;;diretoria.financeira@ameplansaude.com.br;ALI HUSSEIN  IBRAHIN TAHA;SÓCIO DIRETOR;2.0;1998-12-24;
321338.0;84638345000165.0;AMERON - ASSISTÊNCIA MÉDICA RONDÔNIA S/A.;AMERON;Medicina de Grupo;AVENIDA CALAMA;2615;PRÉDIO;LIBERDADE;Porto Velho;RO;76803884.0;69.0;32117199.0;32217157.0;ouvidoria@ameron.com.br;PAULO ROBERTO DA SILVA;PRESIDENTE;5.0;1998-12-22;
401081.0;68668045000172.0;AMESC - ASSOCIAÇÃO MÉDICA ESPÍRITA CRISTÃ;GRUPO CEMERU SAÚDE;Medicina de Grupo;RUA FELIPE CARDOSO;1025;;SANTA CRUZ;Rio de Janeiro;RJ;23510006.0;21.0;24140013.0;;relacionamento.ans@cemeru.com;MAURO GOMES DIAS ;REPRESENTANTE;4.0;1999-02-24;
418587.0;15131148000132.0;AMHA SAUDE S/A;AMHA SAUDE S/A;Medicina de Grupo;RUA DOUTOR LUIZ ALBERTO VIEIRA DOS SANTO;141;1º ANDAR;VILA SANTISTA;Atibaia;SP;12941030.0;;;;marcos.carvalho@amha.com.br;JOSE JAIR JAMES DE ARRUDA PINTO;DIRETOR ;5.0;2012-10-08;
421731.0;29174910000172.0;AMHE MED ASSISTENCIA A SAUDE LTDA - EPP;AMHE MED;Medicina de Grupo;RUA PEDRO JOSÉ SENGER;230;;VILA HARO;Sorocaba;SP;18015000.0;15.0;30351030.0;;juridico@amhemed.com.br;MARCIO ALVES;Representante Perante ANS;6.0;2019-06-13;
326305.0;29309127000179.0;AMIL ASSISTÊNCIA MÉDICA INTERNACIONAL S.A.;AMIL;Medicina de Grupo;Avenida Doutor Chucri Zaidan ;S/ Nº;6º, 7º, 8º ,9º, 16º, 20º e 23º  andares ;VILA FRANCISCO;São Paulo;SP;4711130.0;21.0;38054491.0;38051088.0;representanteans@amil.com.br;ALEXANDRE GINO CAMARGO ZORNIG;REPRESENTANTE LEGAL;1.0;1998-12-17;
325465.0;20946877000187.0;AMPARA ASSISTÊNCIA MÉDICA PARAÍSO LTDA;AMPARA ;Medicina de Grupo;PÇ COMENDADOR JOÃO PIO FIGUEIREDO WESTIN;107;;MOCOQUINHA;São Sebastião do Paraíso;MG;37957148.0;35.0;35393636.0;35393600.0;ampara@ampara.com.br;ANTONIO CARLOS MAFFEI BRAGIATO;DIRETOR PRESIDENTE;5.0;1998-12-21;
422720.0;41077489000187.0;AMPLA PLANOS DE SAUDE LTDA;AMPLA  ;Medicina de Grupo;Av. Nilo Peçanha;50;Grupo 2501;CENTRO;Rio de Janeiro;RJ;20020906.0;21.0;39235406.0;;sidney.junior@amplasaude.com;SIDNEY STORCH DUTRA JUNIOR;SOCIO - ADMINISTRADOR;4.0;2021-04-06;
423858.0;43047552000168.0;AMPLITUDE PLANOS DE SAUDE LTDA ;VYDA SAUDE;Medicina de Grupo;RUA INCONFIDÊNCIA ;488;SALA 201;CENTRO;Betim;MG;30411023.0;31.0;39235406.0;;amaral.diego@gmail.com;DIEGO ALVES AMARAL ;SOCIO ADMINISTRADOR ;6.0;2023-11-14;
423319.0;45981176000100.0;ANAFE SAUDE;ANAFE SAUDE;Autogestão;QUADRA 02 LOTE 03 1º ANDAR PARTE ;9.0;JARDIM DA BARRAGEM I;JARDIM DA BARRAGEM I;Águas Lindas de Goiás;GO;72920004.0;;;;financeiro@anafesaude.com.br;FLAVIO MURILO PINTO SIVINI;DIRETOR- PRESIDENTE;;2022-08-26;
421871.0;3013779000178.0;ANGELI SISTEMAS DE SAUDE S.A.;;Medicina de Grupo;RODOVIA DO CAQUI;1150;SALA PRÓXIMA AO PRONTO SOCORRO;ARAÇATUBA;Campina Grande do Sul;PR;83430000.0;41.0;35154099.0;;atendimento@planodesaudeangeli.com.br;PEDRO ERNESTO CARON;Presidente;5.0;2021-07-29;
424366.0;55081563000143.0;AP ADMINISTRAÇÃO DE BENEFICIOS - SOCIEDADE SIMPLES UNIPESSOAL LIMITADA;AP ADMINISTRAÇÃO DE BENEFICIOS SOCIEDADE SIMPLES LIMITADA;Administradora de Benefícios;Rua Sete de Abril;277.0;conjuntos 11 e 12;Centro;São Paulo;SP;1043000.0;11.0;33506000.0;;contato@apbeneficios.com.br;MIGUEL NOEL MEIRELLES;administrador;;2025-03-24;
422932.0;35808498000106.0;APLUS ADMINISTRADORA DE BENEFICIOS LTDA;;Administradora de Benefícios;AVENIDA PRESIDENTE VARGAS;534;SALA 1501;CENTRO;Rio de Janeiro;RJ;20071000.0;;;;contato@aplusadministradora.com.br;GABRIEL SILVA RODRIGUES;SOCIO ADMINISTRADOR/REPRE;;2021-07-29;
421693.0;30902499000193.0;AQQUER - ADMINISTRADORA DE BENEFÍCIOS LTDA;AQQUER ADMINISTRADORA;Administradora de Benefícios;Rua Barão de Melgaço;2754;Sala 406;Centro;Cuiabá;MT;78020800.0;65.0;36244416.0;;aqquer@aqquer.com.br;GABRIEL DUTRA;REPRESENTANTE LEGAL;;2019-05-24;
416070.0;17469701000177.0;ARCELORMITTAL BRASIL S/A;ARCELORMITTAL BRASIL S/A;Autogestão;AV. CARANDAI;1115;;FUNCIONARIOS;Belo Horizonte;MG;30130915.0;27.0;33481463.0;;beneficios@arcelormittal.com.br;PATRICIA GARIGLIO DAHER RAYA;GERENTE DE BENEFICIOS;6.0;2007-05-21;
422941.0;41715325000138.0;ARL ADMINISTRADORA DE BENEFÍCIOS LTDA.;ARL ADMINISTRADORA DE BENEFÍCIOS;Administradora de Benefícios;Rua Visconde de Taunay;601.0;;Bom Retiro;São Paulo;SP;1132000.0;11.0;32252193.0;;paralegalarl@gmail.com;ALVARO ANTÔNIO REGIS LEMOS;Presidente;2.0;2021-08-11;
352152.0;743507000135.0;ARM PLANOS ODONTOLÓGICOS LTDA.;ARM ODONTOLOGIA;Odontologia de Grupo;RUA LOEFGREEN ;1291;CONJUNTO 62;VILA CLEMENTINO;São Paulo;SP;4040031.0;11.0;35155400.0;35155400.0;alexandre@armodonto.onmicrosoft.com;ALEXANDRE DE SOUZA MARTINELLI;DIRETOR;4.0;1998-12-21;
424340.0;57267292000140.0;ARTYODONTO BRASIL  PLANO DE ASSISTÊNCIA ODONTOLÓGICA LTDA;ARTYODONTO BRASIL;Odontologia de Grupo;AVENIDA PEDRO PAES DE AZEVEDO;615;LOJA 03;GRAGERU;Aracaju;SE;49025570.0;79.0;991300040.0;;artyodontobrasil@artyodontobrasil.com.br;HÉLCIO CASTRO PEREIRA;DIRETOR ADMINISTRATIVO E FINANCEIRO;;2025-02-17;
417769.0;12080518000161.0;ASSISTE ADMINISTRADORA DE BENEFÍCIOS LTDA;ASSISTE ;Administradora de Benefícios;RUA JOÃO HIPÓLITO DE AZEVEDO;18;SALA 3 - TÉRREO;CENTRO;Conceição do Jacuípe;BA;44245000.0;71.0;30381100.0;;bruno@assisteadministradora.com.br;BRUNO EDELWEISS;SÓCIO-ADMINISTRADOR;5.0;2010-12-20;
423912.0;53249803000140.0;ASSISTÊNCIA MÉDICA 12 DE OUTUBRO LTDA;;Medicina de Grupo;Rua Presidente Prudente;267;2º andar;Jardim São Paulo;Guarulhos;SP;7110140.0;11.0;49665132.0;;administrativo@12deoutubrosaude.com.br;GISELE ENCARNAÇÃO GUERRERO;Administradora;6.0;2024-03-04;
325236.0;66854779000110.0;ASSISTÊNCIA MÉDICA SÃO MIGUEL LTDA;SÃO MIGUEL SAÚDE;Medicina de Grupo;RUA ÁLVARO CORREA BORGES;43;ED. GILBERTO MAIDA MELLACE;VILA DR. EIRAS;São Paulo;SP;8010200.0;;;;saomiguelsaude@uol.com.br;CARLOS ALBERTO FERNANDES MELLACI;DIRETOR;4.0;1998-12-21;
365297.0;1872588000136.0;ASSISTÊNCIA ODONTOLÓGICA ESPECIALIZADA LTDA;RISO PLANO ODONTOLOGICO;Odontologia de Grupo;AVENIDA UNIVERSIDADE;28;QUADRA 03;COHAFUMA;São Luís;MA;65070650.0;;;;planoriso@planoriso.com.br;MARCIA CHRISTINA VÉRAS BARBOSA;DIRETORA TÉCNICA;6.0;1998-12-22;
423432.0;47325263000134.0;ASSOC DE ASSIST À SAÚDE DOS SERV DAS UNIV E INST FED, EST E/OU FAC PART EM PE;ADUFEPE SAÚDE;Autogestão;Rua Bom Pastor;430.0;Sala 11;Iputinga;Recife;PE;50670260.0;81.0;86903080.0;;adufepesaude@gmail.com;JOSÉ CRISTOVAM MARTINS VIEIRA ;presidente;;2022-12-27;
409634.0;73565319000138.0;ASSOCIACAO CIVIL PRÓ-SAÚDE DOS SERVIDORES DA UNIVERSIDADE ESTADUAL DE PONTA GROSSA;PRO-SAUDE;Medicina de Grupo;RUA SENADOR PINHEIRO MACHADO;446;;CENTRO;Ponta Grossa;PR;84040310.0;;;;administrador@prosaudeuepg.com.br;JEANE SILVANE ECKERT;REPRESENTANTE;6.0;1999-11-05;
360783.0;59007799000190.0;ASSOCIACAO DE SAUDE HOLAMBRA;ASSOCIAÇÃO DE SAÚDE HOLAMBRA;Medicina de Grupo;ALAMEDA MAURÍCIO DE NASSAU;241;CX  POSTAL: 130;CENTRO;Holambra;SP;13825000.0;19.0;38022049.0;38022049.0;ash@holnet.com.br;MAURICIO FRANCISCO MARIA KIEVITSBOSCH;PRESIDENTE;5.0;1999-02-03;
317632.0;62635990000191.0;ASSOCIACAO DOS AUDITORES FISCAIS DA RECEITA ESTADUAL DE SAO PAULO;ASSOCIAÇÃO DOS AGENTES FISCAIS DE RENDAS DO EST. DE SP;Autogestão;AV. BRIGADEIRO LUIZ ANTONIO;4843;;JARDIM PAULISTA;São Paulo;SP;1401002.0;;;;ans@afresp.org.br;ALEXANDRE LANIA GONCALVES;2ª TESOUREIRO;2.0;1998-12-16;
343129.0;13100755000100.0;ASSOCIACAO DOS PROFESSORES UNIVERSITÁRIOS DA BAHIA;APUB SAÚDE;Autogestão;AV. ANTONIO CARLOS MAGALHAES;3213;EDIFÍCIO GOLDEN PLAZA,  SALA 405 a 408;PARQUE BELA VISTA;Salvador;BA;40280000.0;71.0;21039200.0;32473381.0;apubsaude@apubsaude.com.br;SILVIA MARIA LEITE DE ALMEIDA;PRESIDENTE DO CONSELHO DELIBERATIVO ;5.0;1998-12-28;
420093.0;13083167000105.0;ASSOCIACAO DOS SERVIDORES DA EMDAGRO - ASSEM;ASSEM;Autogestão;AV DOUTOR CARLOS RODRIGUES DA CRUZ;401;;CAPUCHO;Aracaju;SE;49081015.0;79.0;32342692.0;32342692.0;assem@assemse.com.br;ELIAS FERNANDO GOES FELIPE;PRESIDENTE;6.0;2016-04-14;
406635.0;71565659000133.0;ASSOCIACAO POLICIAL DE ASSISTENCIA A SAUDE DE ITAPETININGA;APAS/ITAPETININGA;Autogestão;RUA DR. COUTINHO;535;;CENTRO;Itapetininga;SP;18200358.0;15.0;34721800.0;;contato@apasitapetininga.com.br;CARLOS ROGÉRIO DE MORAIS;REPRESENTANTE;5.0;1999-07-21;
410608.0;200720000109.0;ASSOCIACAO POLICIAL DE ASSISTENCIA A SAUDE DE PRESIDENTE PRUDENTE (APAS);APAS - PRESIDENTE PRUDENTE;Autogestão;RUA PIONEIRO JOSÉ LORENCETE;420;;JARDIM BONGIOVANI;Presidente Prudente;SP;19050350.0;;;;apas@apasprudente.com.br;PATRÍCIA ELAINE MACHADO;DIRETORA-PRESIDENTE;5.0;2000-01-27;
417599.0;92741016000173.0;ASSOCIAÇAO DOS FUNCIONARIOS PUBLICOS DO ESTADO DO RIO GRANDE DO SUL;VERTE SAUDE - AFPERGS;Filantropia;RUA DOS ANDRADAS;846;;CENTRO;Porto Alegre;RS;90020006.0;51.0;32841500.0;;najara.bandeira@afpergs.com.br;ROMEU FUCHS;Diretor Presidente;4.0;2010-09-28;
333867.0;89761670000134.0;ASSOCIAÇAO UNISAUDE MARAU;UNISAÚDE;Medicina de Grupo;AVENIDA JULIO BORELLA;1240;CONJUNTO 406;CENTRO;Marau;RS;99150000.0;54.0;33422179.0;33428002.0;gerencia@unisaudemarau.com.br;RUDIMAR LUIS RODEGHERO;DIRETOR GERAL;6.0;1998-12-31;
406554.0;83367342000171.0;ASSOCIAÇÃO ADVENTISTA NORTE BRASILEIRA DE PREVENÇÃO E ASSISTÊNCIA A SAÚDE;GARANTIA DE SAÚDE - HOSPITAIS ADVENTISTA DE BELÉM E MANAUS;Filantropia;RODOVIA MARIO COVAS;400;;COQUEIRO;Ananindeua;PA;67110000.0;91.0;32144500.0;32451585.0;clairton@hab.org.br;JACKSON DOUGLAS DA SILVA FREIRE;GERENTE;5.0;1999-07-21;
411752.0;3849449000117.0;ASSOCIAÇÃO ASSISTENCIAL DE SAÚDE SUPLEMENTAR CRUZ AZUL SAÚDE;CRUZ AZUL SAÚDE;Medicina de Grupo;RUA ALBUQUERQUE MARANHÃO;72;;CAMBUCI;São Paulo;SP;1540020.0;11.0;33885000.0;33885010.0;diretoria@maisazulsaude.com.br;EDGAR CUCCOLO;REPRESENTANTE JUNTO À ANS;4.0;2000-07-21;
322326.0;25335803000128.0;ASSOCIAÇÃO BENEFICENTE CATÓLICA;HOSPITAL SANTA ISABEL;Filantropia;RUA FREI CORNELIO;200;;LAURINDO DE CASTRO;Ubá;MG;36500000.0;32.0;35391034.0;;planosaude@santaisabelsaude.com.br;FABIANO DOS SANTOS;PRESIDENTE;3.0;1998-12-29;
304131.0;2030246000131.0;ASSOCIAÇÃO BENEFICENTE DE ASSISTÊNCIA A SAÚDE DOS JUÍZES DO TRABALHO DA 15ª REGIÃO (ABAS 15);SAÚDE ABAS;Autogestão;RUA BARÃO DE JAGUARA;707;10º ANDAR / SALAS 101/104 - BLOCO MOZART;CENTRO;Campinas;SP;13015926.0;19.0;37335060.0;;falecom@abas15.org.br;EINSTEIN ROMERO DURÃES;REPRESENTANTE LEGAL;1.0;1998-12-22;
